"matter","qcasenumber"
"108929-0001-09","5432"
"PH Temp. Holding (15)","530-2015-03543"
"100246-0007-01","19-cv-00078"
"052776-0176","A152300"
"026723-0226.001.002","801671/17 "
"068695-0124-103","18-op-16128"
"095540-0387.0007","158035/2015"
"102622-0001","150854/12"
"007568-0302-01","V441353"
"107180-0018-04","MDL 1880"
"026723-0226-043","33-CV-2017-900247.00"
"119593-0001.006","BC715699"
"049673-0351","760CL16004429-00"
"102295-0001.2","13-0921"
"010701-0030.01","18-15592"
"PH Temp. Holding (52)","437-2017-00912"
"026723-0226-130","17-0713"
"055112-3007-01","18-581"
"049673-0020.005","15-2315 MEJ"
"110740-0002-01","2017-P-0045"
"031905-0002.001","706242/17"
"020787-0001-10","9.19.16 Trial Setting"
"116671-0012-11","18-00487"
"009532-1872.001","SCV260994"
"042445-0180","015-02591"
"002579-0000-06","17-05772"
"026723-0226-316","10481"
"107127-0019-01","11-cv-12126"
"011235-0001 (2)","12md2311 "
"055086-0001 (2)","653726/2013"
"101255-0018.002","653774/15"
"070485-0001","651560/2014"
"100383-0002    .001","503057/19"
"026723-0226-312","10481"
"049673-0020.003","15-2315 MEJ"
"026723-0226-122","18-0015"
"111730-0009.001","17 cv 4550"
"034664-0588-01"," 520-2019-05980"
"070076-0016-01","01-18-0002-0376"
"062319-0024","12-CV-1812"
"064416-5051-02"," IPR2016-01865"
"117392-0003.001.001","617327/18"
"026723-0226-309","000007.00"
"020473-0001-01","14-19952"
"107942-0001.006","16 cv 1512"
"026723-0213-01","14-4261"
"060771-0000-02","15-1124"
"061964-0068-01","2016-26517"
"107122-0162.004","CGC19-575294"
"065898-0027","01-1400-0000-8463"
"114272-0008.001","17-5275"
"MI Temp. Holding (10)","2016-CA-6061"
"066629-0144-03","490-2016-00588C"
"026723-0226-169","CAL-18-02008"
"068810-0000-04","10185216"
"028581-0095-07","17-02028"
"034664-1163-001","19-2544"
"049673-0476-001","19L265  19-5659 19-3442"
"020741-0001-02","17-17061"
"064385-0002-01","846-2015-35868"
"068695-0135-01","CT-004500-17"
"099200-0127.073","158922/18"
"055086-0001","PAS-C-41-13 "
"108425-0001-09","GD-14-021671"
"064416-5510-02","IPR2015-01622"
"107070-0002","13 CV O8157 (RBM USDC; 13-1670 ADV 12B12080 USB"
"PH Temp. Holding (71)","18-cv-00402-ER"
"049673-0366-03","STK-CV-VOE-2017-0007161"
"018180-0300 (2)","17-7062"
"067326-0027.003","18 cv 10170"
"022262-0632","19495-15"
"026723-0226.003","18 cv 0282"
"068695-0124-13","17-C-251"
"052339-0068-04","16 cv 1479"
"011235-0004 (4)","13 cv 10803"
"026723-0226-197","180105594"
"PH Temp. Holding (81)","18-00573"
"PH Temp. Holding (31)","36A-2017-00080 "
"PH Temp. Holding (127)","616876"
"105635-0011","18-cv-10935"
"052715-0531-01","15-74-TAV"
"PH Temp. Holding (70)","18-cv-00402-ER"
"045706-0145.001","16 cv 0812"
"061942-0049-02","410-2015-05171"
"112177-0002-06","13-cv-22196"
"026723-0226-092","2017 CV 00821"
"032005-0014-02","4:13cv00165"
